us_aqi,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_change_1h,aqi_change_3h,aqi_rolling_mean_6h,aqi_rolling_mean_24h,next_temperature_2m,next_relative_humidity_2m,next_precipitation,next_surface_pressure,next_wind_speed_10m,next_pm2_5,next_pm10,next_carbon_monoxide,next_nitrogen_dioxide,next_sulphur_dioxide,next_ozone,next_hour_sin,next_hour_cos,next_dow_sin,next_dow_cos,next_month_sin,next_month_cos
157,158.0,159.0,176.0,152.0,-1.0,-2.0,160.33333333333334,157.66666666666666,22.1,52.0,0.0,984.5,5.3,49.1,53.4,1000.0,52.6,12.2,29.0,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
158,158.0,169.0,155.0,126.0,0.0,-11.0,161.0,149.54166666666666,26.8,56.0,0.0,987.2,3.3,81.0,109.2,1257.0,58.3,20.0,59.0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
163,163.0,164.0,165.0,163.0,0.0,-1.0,164.0,165.25,26.4,36.0,0.0,987.4,4.4,71.0,86.4,1340.0,88.4,15.4,13.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
161,161.0,161.0,161.0,155.0,0.0,0.0,161.0,159.91666666666666,24.3,64.0,0.0,983.6,6.8,43.9,61.0,2152.0,30.1,12.9,92.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
78,78.0,79.0,81.0,99.0,0.0,-1.0,78.83333333333333,85.125,27.6,37.0,0.0,981.3,3.3,12.5,17.5,537.0,10.1,10.8,135.0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
86,85.0,84.0,87.0,113.0,1.0,2.0,84.83333333333333,100.95833333333333,20.7,57.0,0.0,984.9,9.9,31.5,126.2,511.0,4.4,7.3,127.0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.8660254037844386,0.5000000000000001
110,109.0,106.0,104.0,89.0,1.0,4.0,107.0,97.91666666666667,18.2,72.0,0.2,988.7,2.2,28.7,81.5,1027.0,12.1,10.6,113.0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
113,112.0,108.0,103.0,90.0,1.0,5.0,109.16666666666667,97.625,20.2,66.0,0.1,987.2,2.6,26.0,59.3,371.0,8.1,11.0,118.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
159,157.0,155.0,151.0,119.0,2.0,4.0,155.33333333333334,137.45833333333334,20.5,70.0,0.0,989.0,2.4,78.7,94.8,1474.0,29.1,13.0,84.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
126,126.0,127.0,131.0,150.0,0.0,-1.0,127.16666666666667,133.41666666666666,17.7,80.0,0.0,986.3,5.2,55.3,66.6,1818.0,30.7,8.2,48.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
